"geo_type";"region";"transportation_type";"alternative_name";"sub-region";"country";"fecha";"tasa"
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-13;100
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-14;95,85
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-15;99,87
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-16;107,59
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-17;103,23
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-18;91,9
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-19;67
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-20;93,11
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-21;93,06
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-22;99,22
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-23;99,6
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-24;96,94
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-25;83,64
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-26;64,12
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-27;88,76
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-28;94,22
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-29;87,97
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-30;101,96
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-01-31;101,2
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-01;94,35
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-02;64,67
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-03;90,6
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-04;97,62
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-05;100,49
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-06;99,41
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-07;100,87
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-08;106,9
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-09;76,75
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-10;106,82
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-11;112,9
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-12;123,58
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-13;128,58
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-14;144,87
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-02-15;112,14
