impacto_presupuestario_anio,impacto_presupuestario_mes,ejercicio_presupuestario,sector_id,sector_desc,subsector_id,subsector_desc,caracter_id,caracter_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,entidad_id,entidad_desc,servicio_id,servicio_desc,tipo_id,tipo_desc,clase_id,clase_desc,concepto_id,concepto_desc,subconcepto_id,subconcepto_desc,fuente_financiamiento_id,fuente_financiamiento_id_desc,clasificador_economico_8_digitos_id,clasificador_economico_8_digitos_desc,prestamo_externo_id,prestamo_externo_desc,recurso_inicial,recurso_vigente,recurso_ingresado_percibido,ultima_actualizacion_fecha
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso de la Nación,14,Venta de Bienes y Servicios de Administraciones Públicas,1,Venta de Bienes,1,Bienes Varios de la Administración Nacional,60,Imprenta del Congreso,1.3,Recursos con Afectación Específica,11400000,Ventas de Bienes y Serv. de las Administraciones Públicas,0,GENERICO,30,30,0,Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,17,Transferencias Corrientes,6,Del Sector Externo,2,De Organismos Internacionales,0,De Organismos Internacionales,2.1,Transferencias Externas,11732000,De Organismos Internacionales,90055200,DONACION OACNUDH,"2,955","2,955",0,Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,11,Ingresos Tributarios,9,Otros Impuestos,9,Otros,29,Varios,1.3,Recursos con Afectación Específica,11123000,Otros Impuestos,0,GENERICO,"473,907469","473,907469","35,14989427",Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,11,Ingresos Tributarios,9,Otros Impuestos,9,Otros,43,Fondo Nacional de la Justicia-3.5% Tributarios del Tesoro,1.3,Recursos con Afectación Específica,11123000,Otros Impuestos,0,GENERICO,"100680,683502","100680,683502",0,Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,12,Ingresos No Tributarios,9,Otros,2,Especificados,43,Fondo Nacional de Justicia,1.3,Recursos con Afectación Específica,11330000,Otros No Tributarios,0,GENERICO,"323,205515","323,205515",0,Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,11,Ingresos Tributarios,9,Otros Impuestos,9,Otros,43,Fondo Nacional de la Justicia-3.5% Tributarios del Tesoro,1.3,Recursos con Afectación Específica,11123000,Otros Impuestos,0,GENERICO,"19586,344572","19586,344572","1907,03004603",Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos No Tributarios,1,Tasas,5,Judiciales Ley 23898,43,Fondo Nacional de la Justicia,1.3,Recursos con Afectación Específica,11310000,Tasas,0,GENERICO,"3794,118","3794,118","87,56045114",Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos No Tributarios,9,Otros,2,Especificados,43,Fondo Nacional de Justicia,1.3,Recursos con Afectación Específica,11330000,Otros No Tributarios,0,GENERICO,"62,876158","62,876158","1376,99662006",Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,0,Poder Judicial de la Nación,335,Corte Suprema de Justicia de la Nación,12,Ingresos No Tributarios,9,Otros,2,Especificados,93,Corte Suprema de Justicia - Varios no Tributarios,1.3,Recursos con Afectación Específica,11330000,Otros No Tributarios,0,GENERICO,"9234,633","9234,633",0,Última actualización del ejercicio 2022: 05 Agosto 2022.
2022,1,2022,1,Sector Público Nacional no Financiero,1,Administración Nacional,1,Administración Central,10,Ministerio Público,0,Ministerio Público,0,Ministerio Público,360,Procuración General de la Nación,14,Venta de Bienes y Servicios de Administraciones Públicas,2,Venta de Servicios,1,Servicios Varios de la Administración Nacional,29,Otros,1.3,Recursos con Afectación Específica,11400000,Ventas de Bienes y Serv. de las Administraciones Públicas,0,GENERICO,"108,097233","108,097233","9,99905751",Última actualización del ejercicio 2022: 05 Agosto 2022.
