Comuna; Ingreso promedio  ;PEA;Desocupados;Tasa de Desempleo;promedio_ing_familiar;promedio_ing_per_capita;densidad-comuna;Densidad-comuna-ajustada_2020;Densidad-comuna-ajustada;densidad-zona;zona;est1;est2;est3;Superficie_km2_comuna;Superficie_km2_a_descontar;Superficie_km2_ajustada;pob_comuna_2020;pob_comuna_2021
1;41676;141215;11824;0,083730482;43246;22162;14379,87;21025,59;21093,6539045011;19193,74;centro;0;1;0;17,7649;5,57;12,1949;256405;257235
2;53776;86194;5825;0,06758011;49673;31249;23722,52;32680,51;32667,6070815427;26268,48;norte;1;0;0;6,30245;1,73;4,57245;149430;149371
3;32891;114233;9707;0,084975445;35706;19692;30245,11;30270,32;30293,6570086139;19193,74;centro;0;1;0;6,385;;6,385;193276;193425
4;26042;120982;13018;0,107602784;32662;14176;11062,44;12169,9;12186,9836281616;13048,45;sur;0;0;1;21,669;1,94;19,729;240100;240437
5;38697;106619;5749;0,053920971;42290;22502;28134,34;28159,87;28182,6987333028;19193,74;centro;0;1;0;6,65905;;6,65905;187518;187670
6;46411;109500;5941;0,054255708;48102;24790;27042,91;27069,92;27093,8549116917;19193,74;centro;0;1;0;6,851;;6,851;185456;185620
7;33404;123108;9106;0,073967573;40878;17272;19431,27;19461,6;19487,9139978757;19193,74;centro;0;1;0;12,4276;;12,4276;241861;242188
8;22957;98458;13458;0,136687725;34540;10349;10239,82;17488,01;17532,9208677055;13048,45;sur;0;0;1;22,292;9,2;13,092;228953;229541
9;29605;82460;3817;0,04628911;38106;14977;10363,63;10375,86;10386,7684478372;13048,45;sur;0;0;1;16,506;;16,506;171264;171444
10;34920;93587;6637;0,070917969;39535;17206;13470,68;13478,18;13484,8975657546;13048,45;sur;0;0;1;12,6569;;12,6569;170592;170677
11;37798;104251;8017;0,076900941;44423;20827;13460,02;13462,14;13464,1944005723;19193,74;centro;0;1;0;14,1193;;14,1193;190076;190105
12;44684;119634;9070;0,075814568;47006;23304;13779,77;13796,41;13810,8635884786;19193,74;centro;0;1;0;15,5676;;15,5676;214777;215002
13;52863;140265;7116;0,050732542;55573;28922;16123,54;23870,33;23881,4350998561;26268,48;norte;1;0;0;14,651746;4,75;9,90175;236358;236468
14;59536;134897;5093;0,037754731;57521;34357;14328,72;24776,63;24782,4142257132;26268,48;norte;1;0;0;15,8465;6,68;9,1665;227115;227168
15;40240;105372;7431;0,070521581;38298;20204;12738,16;15726,07;15727,7911798192;19193,74;centro;0;1;0;14,322713;2,72;11,60271;182465;182485
