tiempo,bolsa,granel
2011-01-01,566496,304797
2011-02-01,523900,311863
2011-03-01,566283,361314
2011-04-01,583419,374884
2011-05-01,615644,394722
2011-06-01,543324,376697
2011-07-01,574529,358763
2011-08-01,647638,385237
2011-09-01,687812,416844
2011-10-01,649826,379925
2011-11-01,656880,409992
2011-12-01,579964,350869
2012-01-01,552984,322665
2012-02-01,493090,290838
2012-03-01,631873,341587
2012-04-01,493982,304749
2012-05-01,566927,322424
2012-06-01,567865,338824
2012-07-01,583416,329030
2012-08-01,563173,297940
2012-09-01,589998,317583
2012-10-01,664013,327242
2012-11-01,630019,352609
2012-12-01,530871,278856
2013-01-01,602357,311466
2013-02-01,551151,288454
2013-03-01,594025,345381
2013-04-01,631658,343943
2013-05-01,650506,365752
2013-06-01,580465,351309
2013-07-01,641646,374071
2013-08-01,678172,401623
2013-09-01,669123,382802
2013-10-01,727996,424266
2013-11-01,688193,374072
2013-12-01,589051,338693
2014-01-01,620296,311409
2014-02-01,518812,283760
2014-03-01,575020,335934
2014-04-01,569197,336868
2014-05-01,581942,347487
2014-06-01,554101,345555
2014-07-01,602884,365010
2014-08-01,630364,373886
2014-09-01,670756,383959
2014-10-01,696041,419346
2014-11-01,634787,375281
2014-12-01,570824,334644
2015-01-01,621564,323225
2015-02-01,558850,338902
2015-03-01,604075,375378
2015-04-01,642465,411617
2015-05-01,599614,402163
2015-06-01,641004,419452
2015-07-01,651924,421838
2015-08-01,628606,353014
2015-09-01,720425,415578
2015-10-01,728325,417940
2015-11-01,656519,344728
2015-12-01,630676,307307
2016-01-01,571739,291063
2016-02-01,531534,276806
2016-03-01,580782,312615
2016-04-01,501860,262023
2016-05-01,568040,321381
2016-06-01,557078,307369
2016-07-01,557305,295058
2016-08-01,677418,370149
2016-09-01,645056,363301
2016-10-01,596166,343485
2016-11-01,636966,386693
2016-12-01,607960,342686
2017-01-01,567463,315945
2017-02-01,499428,306564
2017-03-01,634350,399214
2017-04-01,515064,333803
2017-05-01,585450,387463
2017-06-01,586350,424050
2017-07-01,592182,428197
2017-08-01,677044,449046
2017-09-01,688698,449364
2017-10-01,697674,462372
2017-11-01,711082,480455
2017-12-01,611390,400490
2018-01-01,654182,398178
2018-02-01,545538,386063
2018-03-01,628333,469535
2018-04-01,573635,389450
2018-05-01,550639,380094
2018-06-01,562578,413384
2018-07-01,545068,409882
2018-08-01,652054,467904
2018-09-01,596549,421349
2018-10-01,591529,457068
2018-11-01,554532,425857
2018-12-01,474427,345032
2019-01-01,531108,353255
2019-02-01,511527,417967
2019-03-01,530256,420984
2019-04-01,507635,401102
2019-05-01,528927,444697
2019-06-01,493527,370688
