x1;x2;x3;x4;x5;x6;x7;x8;y
2752;5091;178;109;159;3078;1640;119;100
10460;19057;1457;1361;1674;11710;6112;1108;164
2413;4373;177;113;154;2812;1503;132;80
50128;87991;2211;790;1119;61027;32048;1386;1777
7244;13594;671;410;580;6228;3200;396;393
10472;20849;1191;1073;1389;16034;7852;1016;186
11692;19479;481;265;364;15432;9328;379;279
13720;24137;537;232;305;19728;11056;422;339
11844;22538;1530;1407;1692;15220;7912;1250;192
4694;8668;280;183;250;4309;2324;199;142
21744;42334;4258;4100;4540;37849;18952;3798;252
3112;5590;208;127;145;3887;2174;165;106
2847;5133;193;115;133;3779;2072;152;104
2549;4896;249;134;168;3631;1917;183;152
22784;39941;887;337;417;34415;19312;684;599
10060;19680;1264;1209;1425;17272;8548;1162;108
1722;2981;163;123;148;1868;1050;123;54
53264;111785;1706;1103;1655;92512;39776;1307;713
3930;7509;130;86;112;5009;2410;101;75
1591;2825;121;88;111;2116;1161;100;42
2848;5066;200;142;184;3561;1963;157;81
1384;2467;15;15;20;2196;1172;15;0
3454;6853;118;104;130;6282;3100;106;18
2723;4888;176;118;143;2964;1621;143;96
8488;15294;1341;1270;1489;9684;5244;995;121
8284;15104;1521;1462;1711;10266;5372;1200;106
19552;34143;2806;2531;3420;17748;9824;1779;494
2478;4306;212;124;149;2612;1443;166;117
9560;18264;973;559;885;9217;4748;621;622
36208;61262;1141;1068;1728;30131;14112;559;174
4940;9390;385;306;501;5860;2930;273;162
1683;2929;192;171;221;1585;858;131;39
5280;9578;368;237;345;4480;2422;268;204
3002;5318;268;185;247;3039;1676;194;125
3766;7149;298;260;431;5782;2938;244;75
4512;7808;423;284;431;5183;2954;316;199
2690;4628;252;168;226;3052;1727;199;113
19800;28663;479;424;805;5187;2752;248;100
17576;33058;5352;5202;6547;23135;11792;4104;269
3290;6085;306;284;402;4986;2584;247;59
13280;24198;2055;1912;2720;17627;9344;1716;262
18480;28438;517;366;460;12078;6752;319;211
7268;13989;2087;2079;12074;13544;7096;1975;36
2645;4270;134;109;170;2330;1377;101;46
4284;8387;355;316;513;7283;3634;291;58
7968;13023;206;158;223;6734;3492;138;71
16576;30612;3572;3464;4802;24363;12888;3014;214
1925;3481;97;83;126;2307;1180;77;32
3786;7329;338;283;450;6336;3216;280;92
1536;3094;84;76;99;2903;1407;76;14
1728;3155;108;65;95;2313;1232;77;58
25248;40125;726;467;863;16132;8608;451;337
4894;8899;355;181;264;4914;2712;246;242
2935;5439;237;182;401;3901;2044;201;87
2425;4462;260;213;433;3017;1510;175;83
16416;31950;459;411;539;21436;9568;363;81
5812;10465;343;204;301;4976;2764;240;220
